N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.60702,0.0469107194573
100,4,1,2,0.589294,0.0576640925013
100,4,1,3,0.638612,0.0640931623186
100,4,2,1,0.539936,0.0640556625444
100,4,3,1,0.601604,0.0782101220048
100,4,2,2,0.592902,0.0896576176128
100,4,3,3,0.8521,0.635225781908
200,4,1,1,0.922446,0.0439465480328
200,4,1,2,1.490004,0.71660483112
200,4,1,3,0.943214,0.312370043705
200,4,2,1,0.698558,0.0718907966015
200,4,3,1,0.797618,0.0825731922357
200,4,2,2,0.742974,0.0803971972397
200,4,3,3,1.028828,0.76714784391
300,4,1,1,1.049864,0.160310253895
300,4,1,2,0.634088,0.0421087669732
300,4,1,3,0.634332,0.0758588806667
300,4,2,1,0.59387,0.0656395391513
300,4,3,1,0.60209,0.0769484886141
300,4,2,2,0.568002,0.0829622202933
300,4,3,3,0.71582,0.486402635272
400,4,1,1,0.863046,0.0598369441399
400,4,1,2,0.74209,0.0529602671821
400,4,1,3,0.747568,0.0886445563811
400,4,2,1,0.701604,0.0839651545821
400,4,3,1,0.712584,0.0831549093199
400,4,2,2,0.66622,0.0955370273768
400,4,3,3,0.795862,0.350389724387
100,8,1,1,0.401786,0.034097803507
100,8,1,2,0.390792,0.0344885594944
100,8,1,3,0.394066,0.0699345239778
100,8,2,1,0.34326,0.047233382263
100,8,3,1,0.393586,0.0677238407357
100,8,2,2,0.376416,0.112311027704
100,8,3,3,0.582112,0.599431613661
200,8,1,1,0.615126,0.0258076369317
200,8,1,2,0.507902,0.0375210393779
200,8,1,3,0.514796,0.061979564245
200,8,2,1,0.46076,0.0532327192617
200,8,3,1,0.48634,0.0608372287337
200,8,2,2,0.46326,0.0592482269777
200,8,3,3,0.593692,0.402440188271
300,8,1,1,0.73523,0.044052345
300,8,1,2,1.605702,1.10516151453
300,8,1,3,0.87582,0.725607631989
300,8,2,1,2.11362,0.795533088941
300,8,3,1,2.467512,0.568482113928
300,8,2,2,1.033218,0.891294345587
300,8,3,3,2.354944,1.08522920568
400,8,1,1,3.991248,0.324980950974
400,8,1,2,3.101582,0.653099103717
400,8,1,3,3.0032,0.828985051735
400,8,2,1,2.901644,0.313731396682
400,8,3,1,2.303786,1.22804738679
400,8,2,2,0.712762,0.0598661954362
400,8,3,3,0.821978,0.535624156957
